,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
145,128,18,59.55692647,18.92,1.018898269,0.85,0,128.75
146,128,19,28.76207353,19.9,0.884868423,0.85,0,128.7916667
147,128,20,10.76543382,19.54,1.021222357,0.85,0,128.8333333
148,128,21,0.021859559,19.66,1.155715042,0.85,0,128.875
149,128,22,0.023455147,20.14,1.403689528,0.85,0,128.9166667
150,128,23,0.022338235,20.655,1.491281429,0.85,0,128.9583333
151,129,0,0.019147059,20.99,1.522455089,0.85,0,129
152,129,1,0.024891176,21.195,1.56276018,0.85,0,129.0416667
153,129,2,0.027763235,21.345,1.545355842,0.85,0,129.0833333
154,129,3,0.032869118,21.405,1.531905969,0.85,0,129.125
155,129,4,0.033826471,21.605,1.509815966,0.85,0,129.1666667
156,129,5,0.172642647,21.655,1.553391077,0.85,0,129.2083333
157,129,6,11.69566176,21.695,1.548521259,0.85,0,129.25
158,129,7,19.00505147,21.675,1.475135407,0.85,0,129.2916667
159,129,8,35.80340441,21.76,1.389209872,0.85,0,129.3333333
160,129,9,70.20907353,21.85,1.708197484,0.85,0,129.375
161,129,10,125.0941176,21.9,2.165343515,0.85,0,129.4166667
162,129,11,191.4705882,21.535,1.91839046,0.85,0,129.4583333
163,129,12,191.4705882,21.8,1.889221213,0.85,0,129.5
164,129,13,191.4705882,20.785,1.659492995,0.85,0,129.5416667
165,129,14,188.3272794,20.26,1.653980529,0.85,0,129.5833333
166,129,15,191.4705882,19.855,1.609023207,0.85,0,129.625
167,129,16,130.6148529,19.695,1.58160165,0.85,0,129.6666667
168,129,17,111.3401471,19.33,1.592862757,0.85,5,129.7083333
169,129,18,60.97540441,19.71,1.376334682,0.85,0,129.75
170,129,19,26.48357353,20.375,1.173714168,0.85,0,129.7916667
171,129,20,10.21176471,20.04,1.186851539,0.85,0,129.8333333
172,129,21,0.030316176,19.86,1.332480682,0.85,0,129.875
173,129,22,0.027284559,19.65,1.305755995,0.85,0,129.9166667
174,129,23,0.038613235,20.185,1.389439502,0.85,0,129.9583333
175,130,0,0.038134559,20.66,1.440914981,0.85,0,130
176,130,1,0.034464706,20.995,1.464697478,0.85,0,130.0416667
177,130,2,0.026965441,21.295,1.483516161,0.85,0,130.0833333
178,130,3,0.030316176,21.46,1.517845656,0.85,0,130.125
179,130,4,0.038294118,21.5,1.508748058,0.85,0,130.1666667
180,130,5,0.193544853,21.62,1.53495197,0.85,0,130.2083333
181,130,6,12.08338971,21.655,1.15531491,0.85,0,130.25
182,130,7,19.20130882,21.62,1.224032634,0.85,0,130.2916667
