DOY,carbon_pool_g,LAI,assimilation_sunlit,L_3_demand,L_3_allocation,L_4_demand,L_4_allocation,L_5_demand,L_5_allocation,L_6_demand,L_6_allocation,L_7_demand,L_7_allocation
125,0.06511605308477648,0.14605451030845853,5.882502272462326,1.5002721589058044e-05,1.5002721589058044e-05,6.486452603838605e-06,6.486452603838605e-06,,0.0,,0.0,,0.0
125,0.06509484525929896,0.14747444138088298,0.01810502536232837,1.5080280186305583e-05,1.5080280186305583e-05,6.527366567979226e-06,6.527366567979226e-06,,0.0,,0.0,,0.0
125,0.06507352327224557,0.14889955083371478,0.016344915532550644,1.5130077114083395e-05,1.5130077114083395e-05,6.556371081183093e-06,6.556371081183093e-06,,0.0,,0.0,,0.0
125,0.06505140383198144,0.15038700372991173,0.022906697606337713,1.5786402290233614e-05,1.5786402290233614e-05,6.848750477981396e-06,6.848750477981396e-06,,0.0,,0.0,,0.0
126,0.06502836794520066,0.1519342192549704,0.022371614725488306,1.64146324260089e-05,1.64146324260089e-05,7.1299516509703526e-06,7.1299516509703526e-06,,0.0,,0.0,,0.0
126,0.06500451312095865,0.153532053474496,0.020025910899539683,1.694519017710533e-05,1.694519017710533e-05,7.369678380893008e-06,7.369678380893008e-06,,0.0,,0.0,,0.0
126,0.06497980754939754,0.1551792465541948,0.015525517565991518,1.7461764412084366e-05,1.7461764412084366e-05,7.604217235506419e-06,7.604217235506419e-06,,0.0,,0.0,,0.0
126,0.0649545447795725,0.15686619515400765,0.017396980470418072,1.787596169968624e-05,1.787596169968624e-05,7.794995253987077e-06,7.794995253987077e-06,,0.0,,0.0,,0.0
126,0.06492893182128262,0.1585834706297479,0.021902812489997557,1.8189783891126318e-05,1.8189783891126318e-05,7.942669000573241e-06,7.942669000573241e-06,,0.0,,0.0,,0.0
126,0.06490487313888292,0.16033839755559237,0.11038231405583374,1.8580729477228983e-05,1.8580729477228983e-05,8.124680263882629e-06,8.124680263882629e-06,,0.0,,0.0,,0.0
126,0.06503472060392548,0.16212451756637428,6.477188418332639,1.890282011524595e-05,1.890282011524595e-05,8.277267005347767e-06,8.277267005347767e-06,,0.0,,0.0,,0.0
126,0.06525848855262921,0.16393623510659178,10.25314059514167,1.91652908985226e-05,1.91652908985226e-05,8.404323843918234e-06,8.404323843918234e-06,,0.0,,0.0,,0.0
126,0.06571283552262046,0.16574487443322394,19.44029758512137,1.9124249746386998e-05,1.9124249746386998e-05,8.398522615406502e-06,8.398522615406502e-06,,0.0,,0.0,,0.0
126,0.06624996380108257,0.16757237088675456,22.54285385062624,1.9315029269329955e-05,1.9315029269329955e-05,8.494699371353672e-06,8.494699371353672e-06,,0.0,,0.0,,0.0
126,0.06683695083137098,0.16945721901956154,24.29928166775871,1.991210679411012e-05,1.991210679411012e-05,8.77036479208315e-06,8.77036479208315e-06,,0.0,,0.0,,0.0
